# # masses,tags,x,y,z,vx,vy,vz,ax,ay,az
1.000000000000000056e-01,6.700000000000000000e+01,1.124561988556920467e+00,-4.197855962236774485e-01,-1.225385112946226096e+00,-4.011389600172683423e-01,1.717647019641558970e+00,1.228955946511922859e+00,-1.067441597812212484e+00,2.988272521374729651e-01,6.779464837997175586e-01
1.000000000000000056e-01,6.800000000000000000e+01,-4.284413816938854869e-02,2.547408408139528180e-01,4.285679019837849713e-01,9.198290984254274827e-01,5.282832412259225174e-01,-2.176170340541612624e+00,2.497608546332526824e+00,-2.081288287825343364e+00,-3.256726596604182511e-01
1.000000000000000056e-01,6.900000000000000000e+01,2.534352474581414771e+00,1.911055800715751873e-01,-4.280805832414886214e-01,6.417067457558525145e-01,1.373560656690969717e+00,1.140361834380190231e-01,-1.358445172264021172e+00,4.092972099704224320e-04,3.032223481077740979e-01
1.000000000000000056e-01,7.000000000000000000e+01,6.295471264233388764e-01,1.190236478106986517e+00,-1.816605473028861939e-01,-1.622784138659559394e+00,-8.068459123038860259e-01,3.493881208818126471e-01,-7.729329532756067378e-01,-2.086031125302341138e+00,7.072755070821279411e-01
1.000000000000000056e-01,7.100000000000000000e+01,-3.262398846094174409e-01,-5.030062811647392218e-01,-7.854865061968218098e-01,-1.075581042685918920e+00,1.432702534765579516e+00,-1.396050280514375075e+00,6.040128826585574595e-01,8.291765599662016539e-01,1.073726350542379970e+00
1.000000000000000056e-01,7.200000000000000000e+01,1.003181468416762673e-01,-1.474028005176367895e+00,-1.351952092113783421e-01,1.475542804320910006e+00,1.726783291547448584e+00,-1.211854359340694742e+00,1.496173019755751565e-01,1.611942711038613529e+00,4.703439003158073062e-01
1.000000000000000056e-01,7.300000000000000000e+01,-1.065991449543142178e+00,1.788404376583352384e-01,1.488898488907375479e-02,1.375685199042861795e+00,-6.337395094342125335e-01,2.912931152003254698e-01,1.601873895290752969e+00,-4.033355569385782546e-01,4.744470253440121188e-01
1.000000000000000056e-01,7.400000000000000000e+01,2.580177340910147166e+00,1.836722312501369414e+00,-6.098435295699267122e-01,-8.762528266575067559e-02,-6.840452390091296409e-02,6.928752813722018900e-01,-6.259155209900543193e-01,-6.162275686637971317e-01,4.520893155112766792e-01
1.000000000000000056e-01,7.500000000000000000e+01,-5.873509221057900964e-01,2.585112843474274058e+00,-8.504101534430462683e-01,-5.262818571793873579e-01,2.780112802151669671e-01,6.140753312760586224e-01,3.014654020561342573e-01,-9.203319770427371704e-01,2.875994599571983223e-01
1.000000000000000056e-01,7.600000000000000000e+01,2.727813517161785106e-01,1.929959611447233103e-01,-1.312800426120463160e-01,1.605154730641242533e-01,-2.487906016813353549e+00,2.701947670053873596e-01,1.011110972355006687e+00,-2.078496543098270255e+00,3.034040665161479744e+00
1.000000000000000056e-01,7.700000000000000000e+01,6.055858697598673901e-01,3.173455480689276187e-01,7.930753750287876658e-01,-1.768889875882514451e-01,1.840974670442724337e-01,2.258011552858453896e+00,-2.280914133353355133e+00,1.369537180753248873e-01,-1.930222833335462962e+00
1.000000000000000056e-01,7.800000000000000000e+01,7.105458034689181579e-01,-5.640461109532908246e-01,-1.559609791036002724e+00,-6.852867493966374735e-01,1.517896800786810441e-01,1.345145518539494045e+00,5.107137716466596089e+00,3.388244582977899544e+00,-6.251819245509260270e+00
1.000000000000000056e-01,7.900000000000000000e+01,9.158825476621105244e-01,-1.124099854187320668e-01,-2.061255222522945796e-01,1.308399231921041128e+00,8.554554116292452104e-01,-1.787807357662420493e+00,-2.096859467504025965e+00,1.884789610519014058e+00,1.367367163099495686e+00
1.000000000000000056e-01,8.000000000000000000e+01,1.981343612086719497e-01,-4.809620966607511816e-01,9.999784998511823675e-01,1.388295780120908374e+00,-7.615416615220397256e-01,-1.924198980386138125e+00,7.046477646021462871e-01,3.187659141355460246e+00,-7.315392904647368688e-01
1.000000000000000056e-01,8.100000000000000000e+01,-1.830826621860981440e+00,-1.796148230567463422e+00,-1.888196045148513580e+00,-1.390467129521497203e+00,1.267479699529040937e+00,-1.300808568814758148e+00,6.457606292817904547e-01,4.914775958352858298e-01,2.257204513430378923e-01
1.000000000000000056e-01,8.200000000000000000e+01,1.059489456533594387e+00,4.702056281162534934e-01,-7.009634787797405786e-02,-7.256597884410387334e-01,1.117699185570516285e+00,-3.210749839656513172e-01,-1.822458353233144202e+00,-1.510058341160554818e+00,1.189391758263024679e+00
1.000000000000000056e-01,8.300000000000000000e+01,-2.400539191158943098e+00,-1.356890771604030821e+00,6.903019924971274257e-01,-8.447290752519995838e-01,7.941566485766545780e-01,9.227193414484786624e-04,8.240243613380181520e-01,4.213338012748890082e-01,-2.061027405901940390e-01
1.000000000000000056e-01,8.400000000000000000e+01,-2.256777495064308692e+00,3.219355772458028508e-01,-1.501726627065506636e-01,-3.457981105403361566e-01,-3.752155124524367280e-01,-7.523113446426304973e-01,9.710566754932308253e-01,-2.077872668473002282e-01,-1.118045147152891272e-01
1.000000000000000056e-01,8.500000000000000000e+01,3.109859799004287551e-01,-8.778974287748705918e-02,2.400655711507625745e-01,-8.087761185011536069e-01,-1.786904868401787638e+00,1.538690705720022311e+00,1.118338010037821295e+00,1.203609707901963422e+00,-4.017130422119530309e-01
1.000000000000000056e-01,8.600000000000000000e+01,-9.101438270109683815e-02,-3.701035343111285236e+00,-1.294671048785515366e-01,-7.968722794623596395e-02,-1.482754205890296939e+00,8.880332445942401565e-01,4.854227118140542335e-02,6.054657502864020380e-01,3.695523361434518289e-02
1.000000000000000056e-01,8.700000000000000000e+01,3.367217922103920458e+00,1.559294358640296307e+00,4.133128277581713667e-02,-6.494020998395726163e-02,2.085654193822316094e-01,1.106110939768832901e+00,-8.296536778927484646e-01,-2.954517529160729516e-01,-1.986504372855842776e-02
1.000000000000000056e-01,8.800000000000000000e+01,-7.940749240636203465e-01,-5.683268630093590845e-01,1.457782220900390113e+00,1.854637526751938381e+00,-1.818701044929677213e+00,1.157078514356917470e-01,1.233778547444086771e+00,5.941416604708924520e-01,-1.380464284559641763e+00
1.000000000000000056e-01,8.900000000000000000e+01,2.758601178811928012e+00,-1.549848774213139713e+00,-2.066821947559072559e+00,2.050196743825028367e+00,2.166003610095776910e-01,-2.509390933372511179e-01,-4.963431558007020961e-01,3.582045946017703986e-01,3.594512143852715558e-01
1.000000000000000056e-01,9.000000000000000000e+01,1.237864966068247669e-01,-3.705295523665171342e-01,1.552625660155471654e-01,1.459401204059408874e+00,5.217331571572988436e-01,-5.627591996745461289e-01,9.874730747072243409e-01,4.597203519991459153e+00,1.108661074228372456e+00
1.000000000000000056e-01,9.100000000000000000e+01,1.830118378791367517e+00,-2.675737827861869089e+00,-1.938057406007031788e-02,1.066754383812779094e+00,-3.273212827043421869e-01,5.740814160198995930e-01,-4.125792507855308155e-01,6.770666286311723958e-01,2.934015284678224630e-02
1.000000000000000056e-01,9.200000000000000000e+01,3.155385834900735209e-01,2.706934024271395067e+00,1.666298404321866045e+00,-4.802913068566528332e-01,-3.254339839449388871e-01,-9.828968429593071265e-01,-6.933637042821490584e-03,-7.732020178575228497e-01,-4.785537042534591667e-01
1.000000000000000056e-01,9.300000000000000000e+01,2.392200709902022049e-01,-6.393260802442873869e-02,7.924163923458094061e-01,-8.902112214332620344e-01,-1.001594394074405203e+00,-7.271807167584631859e-02,3.491084612014632577e-02,2.435027029624314554e-01,-2.291250254817950971e+00
1.000000000000000056e-01,9.400000000000000000e+01,7.537849013595542338e-03,1.135500239626645813e+00,-1.306161780917966420e+00,-4.920682036766786949e-01,-5.855992211583195273e-01,-6.788071673443568654e-01,1.186342378586989627e-01,-7.168208430988531887e-01,1.059023759401036324e+00
1.000000000000000056e-01,9.500000000000000000e+01,8.867612805418516320e-02,-1.206751548451935746e-01,-2.108280389775830238e-02,-1.165972783044657346e+00,8.471858366604695378e-01,-3.810053463160316400e-03,-2.040027817213059813e-01,6.766047381558125684e-01,5.795355006182521862e+00
1.000000000000000056e-01,9.600000000000000000e+01,-5.808618852164316310e-02,-2.605610408114821253e-01,6.576753798164332032e-01,5.830197718958904929e-01,-4.113085384266182420e-01,8.844099637250000256e-01,2.978669336815519486e+00,1.162371708532140779e+00,-2.075859526061071936e+00
1.000000000000000056e-01,9.700000000000000000e+01,5.157627643200599632e-01,5.271766650018833156e-01,4.106759345140401640e-01,-1.273340368629033659e+00,-1.024276363607388163e+00,-3.137433936241578181e-01,-2.024236476191998702e-01,-2.957140841521765928e+00,1.113509595576475775e+00
1.000000000000000056e-01,9.800000000000000000e+01,-1.765175419288491199e+00,2.689483432200404089e-01,3.851347668069344810e+00,-1.072316514667742693e+00,-5.574800885229392877e-01,2.596827822824228638e-01,2.619193307515650382e-01,-2.589397115654299211e-02,-4.557481832351423789e-01
1.000000000000000056e-01,9.900000000000000000e+01,1.060848181882413366e+00,-1.093848647838851385e+00,-1.430408936730046543e+00,1.776643344377012879e+00,-4.969883350569843650e-01,1.047672447679603991e+00,-6.200046453919135780e-01,1.319130515614043375e+00,7.371366958950201775e-01
